Shinydex,Shiny Formdex,Location pick,Location,ID,Pokemon,#
FALSE,FALSE,No,No,1,Bulbasaur,0001
FALSE,FALSE,No,No,2,Ivysaur,0002
FALSE,FALSE,No,No,3_m,Venusaur ♂,0003
,FALSE,No,No,3_f,Venusaur ♀,
FALSE,FALSE,No,No,4,Charmander,0004
FALSE,FALSE,No,No,5,Charmeleon,0005
FALSE,FALSE,No,No,6,Charizard,0006
FALSE,FALSE,No,No,7,Squirtle,0007
FALSE,FALSE,No,No,8,Wartortle,0008
FALSE,FALSE,No,No,9,Blastoise,0009
FALSE,FALSE,No,No,10,Caterpie,0010
FALSE,FALSE,No,No,11,Metapod,0011
FALSE,FALSE,No,No,12_m,Butterfree ♂,0012
,FALSE,No,No,12_f,Butterfree ♀,
FALSE,FALSE,No,No,13,Weedle,0013
FALSE,FALSE,No,No,14,Kakuna,0014
FALSE,FALSE,No,No,15,Beedrill,0015
FALSE,FALSE,No,No,16,Pidgey,0016
FALSE,FALSE,No,No,17,Pidgeotto,0017
FALSE,FALSE,No,No,18,Pidgeot,0018
FALSE,FALSE,No,No,19_m,Rattata ♂,0019
,FALSE,No,No,19_f,Rattata ♀,
,FALSE,No,No,19_a,Alolan Rattata,
FALSE,FALSE,No,No,20_m,Raticate ♂,0020
,FALSE,No,No,20_f,Raticate ♀,
,FALSE,No,No,20_a,Alolan Raticate,
FALSE,FALSE,No,No,21,Spearow,0021
FALSE,FALSE,No,No,22,Fearow,0022
FALSE,FALSE,No,No,23,Ekans,0023
FALSE,FALSE,No,No,24,Arbok,0024
FALSE,FALSE,No,No,25_m,Pikachu ♂,0025
,FALSE,No,No,25_f,Pikachu ♀,
FALSE,FALSE,No,No,26_m,Raichu ♂,0026
,FALSE,No,No,26_f,Raichu ♀,
,FALSE,No,No,26_a,Alolan Raichu,
FALSE,FALSE,No,No,27,Sandshrew,0027
,FALSE,No,No,27_a,Alolan Sandshrew,
FALSE,FALSE,No,No,28,Sandslash,0028
,FALSE,No,No,28_a,Alolan Sandslash,
FALSE,FALSE,No,No,29,Nidoran♀,0029
FALSE,FALSE,No,No,30,Nidorina,0030
FALSE,FALSE,No,No,31,Nidoqueen,0031
FALSE,FALSE,No,No,32,Nidoran♂,0032
FALSE,FALSE,No,No,33,Nidorino,0033
FALSE,FALSE,No,No,34,Nidoking,0034
FALSE,FALSE,No,No,35,Clefairy,0035
FALSE,FALSE,No,No,36,Clefable,0036
FALSE,FALSE,No,No,37,Vulpix,0037
,FALSE,No,No,37_a,Alolan Vulpix,
FALSE,FALSE,No,No,38,Ninetales,0038
,FALSE,No,No,38_a,Alolan Ninetales,
FALSE,FALSE,No,No,39,Jigglypuff,0039
FALSE,FALSE,No,No,40,Wigglytuff,0040
FALSE,FALSE,No,No,41_m,Zubat ♂,0041
,FALSE,No,No,41_f,Zubat ♀,
FALSE,FALSE,No,No,42_m,Golbat ♂,0042
,FALSE,No,No,42_f,Golbat ♀,
FALSE,FALSE,No,No,43,Oddish,0043
FALSE,FALSE,No,No,44_m,Gloom ♂,0044
,FALSE,No,No,44_f,Gloom ♀,
FALSE,FALSE,No,No,45_m,Vileplume ♂,0045
,FALSE,No,No,45_f,Vileplume ♀,
FALSE,FALSE,No,No,46,Paras,0046
FALSE,FALSE,No,No,47,Parasect,0047
FALSE,FALSE,No,No,48,Venonat,0048
FALSE,FALSE,No,No,49,Venomoth,0049
FALSE,FALSE,No,No,50,Diglett,0050
,FALSE,No,No,50_a,Alolan Diglett,
FALSE,FALSE,No,No,51,Dugtrio,0051
,FALSE,No,No,51_a,Alolan Dugtrio,
FALSE,FALSE,No,No,52,Meowth,0052
,FALSE,No,No,52_a,Alolan Meowth,
,FALSE,No,No,52_g,Galarian Meowth,
FALSE,FALSE,No,No,53,Persian,0053
,FALSE,No,No,53_a,Alolan Persian,
FALSE,FALSE,No,No,54,Psyduck,0054
FALSE,FALSE,No,No,55,Golduck,0055
FALSE,FALSE,No,No,56,Mankey,0056
FALSE,FALSE,No,No,57,Primeape,0057
FALSE,FALSE,No,No,58,Growlithe,0058
,FALSE,No,No,58_h,Hisuian Growlithe,
FALSE,FALSE,No,No,59,Arcanine,0059
,FALSE,No,No,59_h,Hisuian Arcanine,
FALSE,FALSE,No,No,60,Poliwag,0060
FALSE,FALSE,No,No,61,Poliwhirl,0061
FALSE,FALSE,No,No,62,Poliwrath,0062
FALSE,FALSE,No,No,63,Abra,0063
FALSE,FALSE,No,No,64_m,Kadabra ♂,0064
,FALSE,No,No,64_f,Kadabra ♀,
FALSE,FALSE,No,No,65_m,Alakazam ♂,0065
,FALSE,No,No,65_f,Alakazam ♀,
FALSE,FALSE,No,No,66,Machop,0066
FALSE,FALSE,No,No,67,Machoke,0067
FALSE,FALSE,No,No,68,Machamp,0068
FALSE,FALSE,No,No,69,Bellsprout,0069
FALSE,FALSE,No,No,70,Weepinbell,0070
FALSE,FALSE,No,No,71,Victreebel,0071
FALSE,FALSE,No,No,72,Tentacool,0072
FALSE,FALSE,No,No,73,Tentacruel,0073
FALSE,FALSE,No,No,74,Geodude,0074
