Shinydex,Shiny Formdex,Location pick,Location,ID,Pokemon,,#,Origin pick,Origin,Method,Streak,Ability,Nature,IVs,Ball pick,Ball,Gender,OT,OT ID,Origin mark pick,Origin Mark,Alpha / Gigantamax / Tera Type,Marks,Ribbons,,,Notes
FALSE,FALSE,No,No,1,,Bulbasaur,0001,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,2,,Ivysaur,0002,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,3_m,,Venusaur ♂,0003,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,3_f,,Venusaur ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,4,,Charmander,0004,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,5,,Charmeleon,0005,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,6,,Charizard,0006,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,7,,Squirtle,0007,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,8,,Wartortle,0008,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,9,,Blastoise,0009,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,10,,Caterpie,0010,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,11,,Metapod,0011,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,12_m,,Butterfree ♂,0012,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,12_f,,Butterfree ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,13,,Weedle,0013,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,14,,Kakuna,0014,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,15,,Beedrill,0015,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,16,,Pidgey,0016,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,17,,Pidgeotto,0017,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,18,,Pidgeot,0018,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,19_m,,Rattata ♂,0019,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,19_f,,Rattata ♀,,None,,,,,None,,None,,,,,None,,,,,,,
